43996,23004,721
44036,23060,719
44076,23004,717
44116,23080,713
44156,23112,710
44196,23176,708
44236,23232,705
44276,23116,702
44316,23036,700
44356,23188,713
44396,23072,727
44436,23324,730
44476,23096,726
44516,22696,722
44556,23204,717
44596,23200,713
44636,22876,711
44676,22804,711
44716,22952,710
44756,22928,708
44796,23208,705
44836,23140,703
44876,22896,703
44916,22968,704
44956,23120,704
44996,23048,703
45036,23056,714
45076,22864,728
45116,23116,730
45156,23124,727
45196,23148,723
45236,23116,719
45276,22956,716
45316,23772,717
45356,22952,717
45396,22680,717
45436,23456,714
45476,23096,708
45516,23200,704
45556,23308,703
45596,22984,702
45636,23188,701
45676,22524,700
45716,23456,713
45756,23804,727
45796,23560,730
45836,23708,726
45876,23448,722
45916,23308,718
45956,22900,714
45996,23356,713
46036,23172,714
46076,22792,713
46116,22988,711
46156,22724,709
46196,23128,705
46236,22936,703
46276,23216,701
46316,23020,699
46356,23084,697
46396,23300,698
46436,22848,715
46476,22980,727
46516,23032,728
46556,22940,723
46596,22960,718
46636,23124,714
46676,23024,711
46716,23192,711
46756,23128,711
46796,23024,710
46836,23076,708
46876,23184,705
46916,23192,702
46956,22948,700
46996,23036,698
47036,23048,696
47076,23000,694
47116,22956,697
47156,23120,716
47196,23028,725
47236,23172,723
47276,23180,718
47316,23108,712
47356,23168,708
47396,23012,707
47436,23108,708
47476,23040,708
47516,22900,707
47556,23172,705
47596,23068,703
47636,23272,700
47676,22924,699
47716,23092,697
47756,23136,695
47796,23232,697
47836,23232,717
47876,23100,726
47916,22772,724
47956,23028,719
47996,23076,714
48036,23148,710
48076,22948,709
48116,22976,709
48156,23004,710
48196,23132,708
48236,23200,705
48276,22960,702
48316,23088,700
48356,23056,698
48396,23068,696
48436,22916,694
48476,23180,695
48516,23012,714
48556,23204,726
48596,23004,725
48636,23088,720
48676,23180,716
48716,23220,712
48756,23028,709
48796,23132,709
48836,23352,709
48876,23332,708
48916,23072,705
48956,22992,702
48996,22892,700
49036,22780,698
49076,23216,696
49116,23372,694
49156,22708,692
49196,23356,709
49236,22808,724
49276,23268,725
49316,23060,721
49356,22828,716
49396,23308,712
49436,22796,709
49476,22584,709
49516,23392,709
49556,22892,709
49596,23128,707
49636,22856,704
49676,22936,700
49716,23228,697
49756,23108,694
49796,23304,692
49836,23136,691
49876,23128,698
49916,23168,718
49956,23080,726
49996,23044,723
50036,23072,719
50076,23104,715
50116,23236,711
50156,23240,709
50196,23056,709
50236,23532,709
50276,22908,708
50316,23056,705
50356,23344,703
50396,23088,701
50436,22788,699
50476,22936,697
50517,22956,696
50557,23148,696
50597,23240,712
50637,22940,725
50677,23336,725
50717,23148,721
50757,22988,716
50797,23204,712
50837,23180,710
50877,22896,709
50917,23172,710
50957,22984,709
50997,23404,709
51037,23048,708
51077,23108,706
51117,23304,704
51157,23200,702
51197,22956,700
51237,23052,698
51277,23180,700
51317,23232,719
51357,22864,727
51397,23240,725
51437,23168,721
51477,23076,716
51517,23184,712
51557,23220,709
51597,23020,709
51637,22940,709
51677,23180,707
51717,23004,705
51757,23244,702
51797,23296,700
51837,22880,698
51877,23312,696
51917,22856,695
51957,23092,693
51997,22988,692
52037,23188,705
52077,23256,720
52117,23104,722
52157,22892,717
52197,22688,711
52237,22952,706
52277,23216,704
52317,23036,704
52357,23116,704
52397,23264,704
52437,22896,702
52477,23104,700
52517,23192,697
52557,23056,695
52597,23112,693
52637,23376,692
52677,23044,690
52717,22692,692
52757,23088,708
52797,22872,719
52837,23180,718
52877,23160,711
52917,23004,706
52957,23016,702
52997,22964,701
53037,23016,702
53077,23336,702
53117,22824,701
53157,23164,699
53197,23000,697
53237,23248,695
53277,23228,694
53317,22964,692
53357,23140,691
53397,23072,692
53437,23108,708
53477,22988,720
53517,23168,720
53557,23148,714
53597,23236,709
53637,23020,705
53677,23020,703
53717,23096,704
53757,23000,705
53797,23200,704
53837,23132,702
53877,23088,699
53917,23324,697
53957,23148,695
53997,22876,694
54037,23024,692
54077,23176,693
54117,23448,711
54157,23232,722
54197,23036,722
54237,22948,717
54277,23012,713
54317,22924,709
54357,22996,706
54397,23152,706
